,value_time,variable_name,nws_lid,measurement_unit,value,elevation
0,2024-08-28 15:05:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
1,2024-08-28 15:35:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
2,2024-08-28 16:05:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
3,2024-08-28 16:35:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
4,2024-08-28 17:05:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
5,2024-08-28 17:35:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
6,2024-08-28 18:35:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
7,2024-08-28 19:05:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
8,2024-08-28 19:35:00+00:00,stage height,BFCN7,ft,0.68,2075.0798
9,2024-08-28 20:05:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
10,2024-08-28 20:35:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
11,2024-08-28 21:05:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
12,2024-08-28 21:35:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
13,2024-08-28 22:05:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
14,2024-08-28 22:35:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
15,2024-08-28 23:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
16,2024-08-28 23:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
17,2024-08-29 00:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
18,2024-08-29 00:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
19,2024-08-29 01:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
20,2024-08-29 01:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
21,2024-08-29 02:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
22,2024-08-29 02:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
23,2024-08-29 03:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
24,2024-08-29 03:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
25,2024-08-29 04:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
26,2024-08-29 04:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
27,2024-08-29 05:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
28,2024-08-29 05:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
29,2024-08-29 06:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
30,2024-08-29 06:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
31,2024-08-29 07:05:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
32,2024-08-29 07:35:00+00:00,stage height,BFCN7,ft,0.64,2075.0398
33,2024-08-29 08:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
34,2024-08-29 08:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
35,2024-08-29 09:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
36,2024-08-29 09:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
37,2024-08-29 10:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
38,2024-08-29 10:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
39,2024-08-29 11:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
40,2024-08-29 11:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
41,2024-08-29 12:05:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
42,2024-08-29 12:35:00+00:00,stage height,BFCN7,ft,0.65,2075.0498
43,2024-08-29 13:05:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
44,2024-08-29 13:35:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
45,2024-08-29 14:05:00+00:00,stage height,BFCN7,ft,0.66,2075.0598
46,2024-08-29 14:35:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
47,2024-08-29 15:05:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
48,2024-08-29 15:35:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
49,2024-08-29 16:05:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
50,2024-08-29 16:35:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
51,2024-08-29 17:05:00+00:00,stage height,BFCN7,ft,0.67,2075.0698
